time,size
0.0,0.0
1.0,0.672
2.0,0.0
3.0,0.48
4.0,0.288
5.0,0.48
6.0,0.448
7.0,0.768
8.0,0.0
9.0,0.512
10.0,0.0
11.0,1.376
12.0,0.0
13.0,0.512
14.0,0.0
15.0,0.512
16.0,19.264
17.0,92.352
18.0,91.84
19.0,92.352
20.0,91.84
21.0,93.248
22.0,91.84
23.0,92.352
24.0,91.84
25.0,92.352
26.0,46.784
27.0,0.512
28.0,0.0
29.0,0.512
30.0,0.0
31.0,1.344
32.0,0.0
33.0,0.48
34.0,0.0
35.0,0.48
36.0,0.864
37.0,0.48
38.0,0.0
39.0,0.48
40.0,0.0
41.0,1.312
42.0,0.0
43.0,0.48
44.0,0.0
45.0,0.48
46.0,0.832
47.0,0.48
48.0,0.0
49.0,0.48
50.0,0.0
51.0,0.928
52.0,0.0
53.0,0.48
54.0,0.0
55.0,0.48
56.0,0.448
57.0,0.48
58.0,0.0
59.0,0.48
60.0,0.0
61.0,0.928
62.0,0.0
63.0,0.48
64.0,0.0
65.0,0.48
66.0,0.448
67.0,0.48
68.0,0.0
69.0,0.48
70.0,0.0
71.0,0.928
72.0,0.0
73.0,0.48
74.0,0.0
75.0,0.48
76.0,0.448
77.0,0.48
78.0,0.0
79.0,0.48
80.0,0.0
81.0,0.928
82.0,0.0
83.0,0.48
84.0,0.0
85.0,0.48
86.0,0.448
87.0,0.48
88.0,0.0
89.0,0.48
90.0,0.0
91.0,0.928
92.0,0.0
93.0,0.48
94.0,0.0
95.0,0.48
96.0,0.448
97.0,0.48
98.0,0.0
99.0,0.48
100.0,0.0
101.0,0.928
102.0,0.0
103.0,0.48
104.0,0.0
105.0,0.48
106.0,0.448
107.0,0.48
108.0,0.0
109.0,0.48
110.0,0.0
111.0,0.928
112.0,0.0
113.0,0.48
114.0,0.0
115.0,0.48
116.0,0.448
117.0,0.48
118.0,0.0
119.0,0.48
120.0,0.0
121.0,0.928
122.0,0.0
123.0,0.48
124.0,0.0
125.0,0.48
126.0,0.448
127.0,0.48
128.0,0.0
129.0,0.48
130.0,0.0
131.0,0.928
132.0,0.0
133.0,0.512
134.0,0.0
135.0,0.512
136.0,0.896
137.0,92.352
138.0,91.072
139.0,91.584
140.0,89.536
141.0,93.248
142.0,88.768
143.0,92.352
144.0,91.072
145.0,91.584
146.0,91.2
147.0,88.512
148.0,86.464
149.0,89.28
150.0,84.928
151.0,88.64
152.0,85.696
153.0,86.976
154.0,85.696
155.0,86.208
156.0,85.056
157.0,85.44
158.0,84.928
159.0,85.44
160.0,84.16
161.0,85.568
162.0,84.16
163.0,84.672
164.0,84.16
165.0,84.672
166.0,85.056
167.0,84.672
168.0,84.16
169.0,84.672
170.0,84.16
171.0,85.568
172.0,84.16
173.0,84.672
174.0,84.16
175.0,84.672
176.0,84.608
177.0,85.12
178.0,84.16
179.0,84.672
180.0,84.16
181.0,1.408
183.0,0.512
185.0,0.512
186.0,0.896
187.0,0.512
189.0,0.512
191.0,1.408
193.0,0.512
195.0,0.512
196.0,0.896
197.0,0.512
199.0,0.512
201.0,1.408
203.0,0.512
205.0,0.512
206.0,0.896
207.0,0.512
209.0,0.512
211.0,1.408
213.0,0.512
215.0,0.512
216.0,0.896
217.0,0.512
219.0,0.512
221.0,1.408
223.0,0.512
225.0,0.512
226.0,0.896
227.0,0.512
229.0,0.512
231.0,1.408
233.0,0.512
235.0,0.512
236.0,0.896
237.0,0.512
239.0,0.512
