time,size
0.0,0.0
1.0,1.344
2.0,0.0
3.0,0.928
4.0,0.576
5.0,0.928
6.0,0.0
7.0,1.536
8.0,0.0
9.0,0.96
10.0,0.0
11.0,27.104
12.0,84.16
13.0,85.12
14.0,84.16
15.0,85.12
16.0,84.608
17.0,85.568
18.0,84.16
19.0,85.12
20.0,84.16
21.0,85.568
22.0,84.16
23.0,84.608
24.0,84.16
25.0,85.12
26.0,85.056
27.0,85.12
28.0,84.16
29.0,85.12
30.0,84.16
31.0,86.016
32.0,84.16
33.0,85.12
34.0,84.16
35.0,85.12
36.0,85.056
37.0,85.12
38.0,84.16
39.0,85.12
40.0,84.16
41.0,86.016
42.0,84.16
43.0,85.12
44.0,84.16
45.0,85.12
46.0,85.056
47.0,85.12
48.0,84.16
49.0,85.12
50.0,84.16
51.0,86.016
52.0,84.16
53.0,85.12
54.0,84.16
55.0,85.12
56.0,85.056
57.0,85.12
58.0,84.16
59.0,85.12
60.0,84.16
61.0,85.568
62.0,84.16
63.0,85.12
64.0,84.16
65.0,85.12
66.0,85.056
67.0,84.672
68.0,84.16
69.0,85.12
70.0,84.16
71.0,86.016
72.0,84.16
73.0,85.12
74.0,84.16
75.0,85.12
76.0,85.056
77.0,85.12
78.0,84.16
79.0,85.12
80.0,84.16
81.0,86.016
82.0,84.16
83.0,85.12
84.0,84.16
85.0,85.12
86.0,85.824
87.0,85.12
88.0,84.16
89.0,85.12
90.0,84.16
91.0,86.016
92.0,84.928
93.0,85.12
94.0,84.928
95.0,85.12
96.0,85.056
97.0,85.12
98.0,84.16
99.0,86.208
100.0,85.696
101.0,88.32
102.0,88.0
103.0,86.976
104.0,85.696
105.0,86.656
106.0,86.592
107.0,88.192
108.0,88.768
109.0,90.432
110.0,88.0
111.0,92.928
112.0,91.072
113.0,89.28
114.0,89.536
115.0,91.264
116.0,91.968
117.0,90.496
118.0,90.304
119.0,91.264
120.0,90.304
121.0,92.48
122.0,91.84
123.0,91.264
124.0,91.072
125.0,92.8
126.0,92.736
127.0,92.736
128.0,91.84
129.0,92.736
130.0,91.84
131.0,93.696
132.0,91.84
133.0,92.352
134.0,91.84
135.0,92.8
136.0,92.288
137.0,92.352
138.0,91.84
139.0,92.8
140.0,91.84
141.0,93.696
142.0,91.84
143.0,92.352
144.0,91.84
145.0,92.8
146.0,92.736
147.0,92.8
148.0,91.84
149.0,92.8
150.0,91.84
151.0,93.248
152.0,92.288
153.0,92.8
154.0,91.84
155.0,92.8
156.0,92.736
157.0,92.8
158.0,91.84
159.0,92.352
160.0,91.84
161.0,93.696
162.0,91.84
163.0,92.736
164.0,91.84
165.0,92.736
166.0,74.336
167.0,0.896
168.0,0.0
169.0,0.896
170.0,0.0
171.0,1.76
172.0,0.0
173.0,0.896
174.0,0.0
175.0,0.448
176.0,0.384
177.0,0.896
178.0,0.0
179.0,0.896
180.0,0.0
